"ID_ESCOLA","ID_REGIAO","ID_MUNICIPIO","IN_PUBLICA","ID_LOCALIZACAO","NIVEL_SOCIO_ECONOMICO","MEDIA_5EF_LP_2017","MEDIA_5EF_LP_2021","MEDIA_5EF_MT_2017","MEDIA_5EF_MT_2021","MEDIA_9EF_LP_2017","MEDIA_9EF_LP_2021","MEDIA_9EF_MT_2017","MEDIA_9EF_MT_2021","MEDIA_EM_LP_2017","MEDIA_EM_LP_2021","MEDIA_EM_MT_2017","MEDIA_EM_MT_2021"
61194362,5,6310613,1,1,"Grupo 3",198.42,NA,207.68,NA,250.72,NA,258.06,NA,245.58,NA,247.6,NA
61239235,5,6310613,1,1,"Grupo 3",200.45,NA,195.23,NA,250.04,NA,255.33,NA,247.38,NA,257.06,NA
61249153,5,6310613,1,1,"Grupo 3",210.11,NA,211.21,NA,258.64,NA,262.74,NA,257.85,NA,259.67,NA
61246138,5,6310613,1,1,"Grupo 3",176.89,NA,181.22,NA,270.29,NA,251.72,NA,NA,NA,NA,NA
61224647,5,6310613,1,1,"",205.05,NA,203.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
61194363,5,6310564,1,1,"Grupo 3",236.32,NA,242.09,NA,304.69,NA,269.19,NA,264.63,NA,265.18,NA
61189050,5,6310564,1,1,"Grupo 3",229.02,NA,235.19,NA,269.6,NA,277.57,NA,NA,NA,NA,NA
61211898,5,6310581,1,1,"Grupo 3",NA,NA,NA,NA,232.24,NA,227.29,NA,231.05,NA,232.27,NA
61202106,5,6310581,1,1,"Grupo 3",226,NA,215.91,NA,244.46,NA,246.75,NA,263.6,NA,252.49,NA
61192516,5,6310581,1,1,"Grupo 3",220.57,NA,218.94,NA,251.51,NA,253.55,NA,NA,NA,NA,NA
61198078,5,6310581,1,1,"",216.37,NA,202.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
61242933,5,6310581,1,1,"Grupo 3",194.32,NA,197.98,NA,242.55,NA,233.74,NA,NA,NA,NA,NA
61248873,5,6310581,1,1,"Grupo 3",192.53,NA,201.74,NA,246.81,NA,240.71,NA,NA,NA,NA,NA
61220179,5,6310581,1,1,"",158.96,NA,171.54,NA,NA,NA,NA,NA,NA,NA,NA,NA
61242934,5,6310597,1,1,"",NA,NA,NA,NA,272.03,NA,269.96,NA,262.76,NA,242.58,NA
61227148,5,6310590,1,1,"Grupo 3",220.96,NA,225.51,NA,260.65,NA,258.71,NA,254.96,NA,253.71,NA
61184240,5,6310590,1,1,"Grupo 3",223.34,NA,223.8,NA,286.21,NA,278.77,NA,283.05,NA,274.33,NA
61183063,5,6310590,1,1,"Grupo 3",219.14,NA,229.07,NA,267.24,NA,263.23,NA,NA,NA,NA,NA
61203290,5,6310590,1,1,"Grupo 3",212.1,NA,223.8,NA,254.17,NA,259.41,NA,NA,NA,NA,NA
61189453,5,6310590,1,1,"Grupo 4",226.47,NA,235.41,NA,267.2,NA,281.91,NA,NA,NA,NA,NA
61188186,5,6310590,1,1,"Grupo 3",NA,NA,NA,NA,NA,NA,NA,NA,298.48,NA,271.81,NA
61242935,5,6310590,1,1,"Grupo 3",202.31,NA,208.49,NA,249.79,NA,243.09,NA,NA,NA,NA,NA
61232773,5,6310590,1,1,"Grupo 3",201.54,NA,226.32,NA,264.7,NA,253.73,NA,NA,NA,NA,NA
61185984,5,6310623,1,1,"Grupo 3",220.99,NA,221.8,NA,249.13,NA,241.34,NA,NA,NA,NA,NA
61222561,5,6310623,1,1,"Grupo 3",195.31,NA,198.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
61198079,5,6310623,1,1,"",190.06,NA,186.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
61249154,5,6310623,1,1,"",183.51,NA,188.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
61215699,5,6310629,1,1,"Grupo 3",217.96,NA,214.36,NA,261.42,NA,262.82,NA,290.57,NA,281.87,NA
61240387,5,6310629,1,1,"Grupo 3",191.02,NA,203.8,NA,255.8,NA,243.92,NA,261.48,NA,261.78,NA
61244402,5,6310629,1,1,"",218.86,NA,218.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
61206441,5,6310629,1,1,"Grupo 4",222.88,NA,234.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
61233561,5,6310629,1,1,"Grupo 4",213.11,NA,223.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
61202107,5,6310629,1,1,"Grupo 3",209.98,NA,201.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
61210773,5,6310629,1,1,"Grupo 4",206.58,NA,213.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
61210774,5,6310632,1,1,"Grupo 4",NA,NA,NA,NA,281.36,NA,284.61,NA,271.77,NA,281.25,NA
61240388,5,6310632,1,1,"Grupo 4",NA,NA,NA,NA,270.37,NA,266.38,NA,286.88,NA,293.9,NA
